transaction,platform,country_name,journey_id,channel_id,timestamp,timestamp_conversion,s
0,mobileWeb,United States,120022,1,5502.11723333335,,1
0,mobileWeb,Portugal,120029,8,5778.62179916666,,1
0,desktop,United States,120034,9,6124.92768972222,,1
0,desktop,Germany,120035,3,1046.30220583337,,1
0,desktop,United Kingdom,120042,2,5987.96984388889,,1
0,desktop,Netherlands,120046,1,6303.48919083335,,1
0,mobileWeb,Canada,120047,5,5928.97196333332,,1
0,desktop,Belgium,120062,5,6229.03968666669,,1
0,mobileWeb,India,120081,1,2465.31682333333,,1
0,desktop,South Africa,120086,1,2505.20121250005,,1
0,mobileWeb,Bulgaria,120150,1,2533.54758472228,,1
0,mobileWeb,Germany,120167,1,2997.2718188889,,1
0,desktop,United States,120190,3,3426.02714111103,,1
0,mobileWeb,France,120204,1,2706.68255333341,,1
0,desktop,Austria,120208,1,3635.63822527777,,1
0,mobileWeb,United Kingdom,120219,1,4743.62127277779,,1
0,mobileWeb,United States,120228,1,5634.34246111108,,1
0,desktop,,120229,6,4476.41379027779,,1
0,mobileWeb,Philippines,120240,3,4255.93177555554,,1
0,desktop,United States,120266,5,5455.10203333333,,1
0,desktop,United States,120278,2,5801.80907333334,,1
0,mobileWeb,Italy,120343,5,5665.93258555554,,1
0,desktop,Canada,120348,2,6083.49252555549,,1
0,mobileWeb,France,120408,1,2587.32803555555,,1
0,mobileWeb,Germany,120421,7,4608.48410111107,,1
0,mobileWeb,Spain,120433,2,4170.7023133334,,1
0,mobileWeb,Morocco,120437,7,3761.05483361112,,1
0,desktop,India,120451,2,4190.30510722223,,1
0,mobileWeb,France,120453,3,2003.44013666664,,1
0,ios,United States,120543,6,2345.68491055554,,1
0,desktop,Canada,120554,5,5993.39551472222,,1
0,mobileWeb,United States,120557,3,3640.0920225,,1
0,mobileWeb,Colombia,120560,4,4526.41050777776,,1
0,desktop,,120583,3,5375.7797177778,,1
0,desktop,Netherlands,120601,1,4095.91092527774,,1
0,desktop,South Korea,120627,6,3113.13735361112,,1
0,desktop,United Kingdom,120640,1,6325.75402555557,,1
0,desktop,Republic of Lithuania,120662,1,5294.16875499999,,1
0,mobileWeb,United States,120670,1,2808.50325861113,,1
0,mobileWeb,United States,120703,1,5029.64796388889,,1
0,desktop,,120727,3,5004.38410277781,,1
